STATE/UT,DISTRICT,TOTAL IPC CRIMES,CRIME_RATE
MADHYA PRADESH,ANUPPUR,13866,0.005744540697746678
MADHYA PRADESH,ASHOK NAGAR,22932,0.00950049093327036
MADHYA PRADESH,BALAGHAT,32210,0.01334427058087556
MADHYA PRADESH,BARWANI,25039,0.01037339928825033
MADHYA PRADESH,BETUL,37200,0.015411576082228215
MADHYA PRADESH,BHIND,42889,0.017768470069642096
MADHYA PRADESH,BHOPAL,169575,0.07025317242322177
MADHYA PRADESH,BHOPAL RLY.,16507,0.006838679741648956
MADHYA PRADESH,BURHANPUR,12453,0.005159149380429784
MADHYA PRADESH,CHHATARPUR,51353,0.021275017918028643
MADHYA PRADESH,CHHINDWARA,52310,0.021671493141434354
MADHYA PRADESH,DAMOH,34789,0.014412723664640791
MADHYA PRADESH,DATIYA,27410,0.011355680118652563
MADHYA PRADESH,DEWAS,71266,0.029524768308496666
MADHYA PRADESH,DHAR,63019,0.026108121320589782
MADHYA PRADESH,DINDORI,10464,0.004335127207646131
MADHYA PRADESH,GUNA,46692,0.01934401372127419
MADHYA PRADESH,GWALIOR,111206,0.04607149811291051
MADHYA PRADESH,HARDA,13912,0.005763598023009649
MADHYA PRADESH,HOSHANGABAD,41312,0.017115135244865916
MADHYA PRADESH,INDORE,204398,0.08467998193696996
MADHYA PRADESH,INDORE RLY.,3687,0.0015274860487950385
MADHYA PRADESH,JABALPUR,119446,0.049485245073059986
MADHYA PRADESH,JABALPUR RLY.,5963,0.002470409359632442
MADHYA PRADESH,JHABUA,29024,0.012024343661575046
MADHYA PRADESH,KATNI,33916,0.014051048774323983
MADHYA PRADESH,KHANDWA,41293,0.01710726374095295
MADHYA PRADESH,KHARGON,48202,0.019969591137515175
MADHYA PRADESH,MANDLA,22636,0.009377861188099943
MADHYA PRADESH,MANDSAUR,37672,0.015607120811013477
MADHYA PRADESH,MORENA,60288,0.024976696205520826
MADHYA PRADESH,NARSINGHPUR,30779,0.012751422049325329
MADHYA PRADESH,NEEMUCH,25263,0.010466200176487403
MADHYA PRADESH,PANNA,21413,0.008871184909912708
MADHYA PRADESH,RAISEN,43662,0.018088715991995925
MADHYA PRADESH,RAJGARH,54255,0.022477286568314297
MADHYA PRADESH,RATLAM,43683,0.018097416075268147
MADHYA PRADESH,REWA,57608,0.023866399864112986
MADHYA PRADESH,SAGAR,95017,0.039364562489383824
MADHYA PRADESH,SATNA,62648,0.02595441984944713
MADHYA PRADESH,SEONI,29447,0.012199588196058448
MADHYA PRADESH,SHAHDOL,38499,0.015949738376067314
MADHYA PRADESH,SHAJAPUR,43219,0.017905185663919927
MADHYA PRADESH,SHEOPUR,14570,0.006036200632206051
MADHYA PRADESH,SHIVPURI,51018,0.021136230875352664
MADHYA PRADESH,SIDHI,39209,0.016243884048604464
MADHYA PRADESH,SIHORE,41929,0.017370751977197497
MADHYA PRADESH,SINGRAULI,10813,0.004479714305836927
MADHYA PRADESH,TIKAMGARH,37897,0.01570033598893018
MADHYA PRADESH,TOTAL,2413770,1.0
MADHYA PRADESH,UJJAIN,97841,0.04053451654465835
MADHYA PRADESH,UMARIYA,15583,0.0064558760776710295
MADHYA PRADESH,VIDISHA,50039,0.0207306412789951
MAHARASHTRA,AHMEDNAGAR,71762,0.031565436634239975
MAHARASHTRA,AKOLA,49341,0.021703272051643414
MAHARASHTRA,AMRAVATI COMMR.,32826,0.014438937361773105
MAHARASHTRA,AMRAVATI RURAL,47756,0.02100608946106246
MAHARASHTRA,AURANGABAD COMMR.,36372,0.015998690968208475
MAHARASHTRA,AURANGABAD RURAL,35481,0.015606773183850347
MAHARASHTRA,BEED,49141,0.021615299485008593
MAHARASHTRA,BHANDARA,28350,0.01247011132048582
MAHARASHTRA,BULDHANA,47189,0.020756687234652745
MAHARASHTRA,CHANDRAPUR,44498,0.019573016350581236
MAHARASHTRA,DHULE,29150,0.012822001587025102
MAHARASHTRA,GADCHIROLI,14864,0.006538121152299867
MAHARASHTRA,GONDIA,23714,0.010430907225890679
MAHARASHTRA,HINGOLI,20606,0.009063813540385567
MAHARASHTRA,JALGAON,55702,0.024501239533463885
MAHARASHTRA,JALNA,33162,0.014586731273719603
